court_id,opinion_count
nyappdiv,774668
scotus,521265
texapp,502421
fladistctapp,351140
ca9,222098
la,213246
ca5,203963
ca4,173874
illappct,171956
ohioctapp,163629
calctapp,163569
pasuperct,145535
pa,142002
lactapp,131280
ny,130199
gactapp,128754
nysupct,119577
ca2,114945
ca6,109179
moctapp,107163
ca8,106344
mich,101821
ca3,99696
nc,97632
texcrimapp,93821
ca7,92046
ohio,91030
ca11,90565
washctapp,85591
nj,83892
ala,82265
ga,81507
indctapp,78549
fla,75635
ca10,70109
neb,68572
ill,65305
mass,64879
tax,63299
ark,62800
mont,61573
miss,60058
iowa,59520
wash,58831
cal,57606
ind,56287
kyctapp,55952
cafc,54525
michctapp,52905
minn,52316
mo,51968
okla,51633
wis,51054
cadc,50708
nysd,50295
connsuperct,50093
ncctapp,48523
kan,46704
prsupreme,46282
cusc,45873
pacommwct,43929
ca1,43749
orctapp,43629
njsuperctappdiv,42862
dcd,42674
or,41959
md,41064
conn,38759
tenn,38001
tex,37235
wva,37190
sc,37019
nev,36541
colo,34486
me,30823
va,29837
bta,29431
nd,27043
vt,26967
uscfc,26706
ri,26485
alacrimapp,26482
utah,25812
tennctapp,25761
arizctapp,25672
dc,25533
alactapp,25301
tenncrimapp,25293
sd,25076
oklacrimapp,24910
nyappterm,24077
alacivapp,23530
idaho,23236
texag,22943
cc,22316
vactapp,22124
kyctapphigh,22119
coloctapp,21297
paed,20910
connappct,20837
iowactapp,20777
nh,20406
ilnd,19592
haw,18038
minnctapp,17838
nyed,17807
wisctapp,16922
kanctapp,16753
ariz,16484
nm,16310
massappct,16022
wyo,15629
del,15168
hawapp,15168
nysurct,15148
nmctapp,14906
mad,14836
nychanct,14656
arkctapp,13947
missctapp,13591
ccpa,12721
scctapp,12243
ky,11504
mdctspecapp,11396
oklaag,11313
idahoctapp,10580
delsuperct,10530
alaska,10303
ilclaimsct,9978
cand,9385
cma,9301
mied,8886
utahctapp,8466
arkag,8456
mdd,8442
njd,8413
pawd,8356
prd,8022
nysuperctnyc,7982
ncworkcompcom,7926
masssuperct,7782
vaed,7581
flsd,7520
oklacivapp,7382
laag,7302
cit,7249
ctd,7132
ksd,7128
nyctcompl,7071
armfor,6657
ded,6522
nynyccityct,6427
massdistctapp,6418
txsd,5953
ohnd,5874
mnd,5846
nywd,5793
nebctapp,5720
bva,5709
circtsdny,5660
pactcomplphilad,5632
cod,5451
risuperct,5401
laed,5349
wvctcl,5325
moed,5263
wied,5198
gand,5163
nycountyct,5127
cacd,4948
ohsd,4934
nynd,4893
pamd,4827
flmd,4793
mspb,4484
mowd,4368
delch,4166
med,4140
ord,4114
txnd,4106
flaag,3982
flmb,3844
bap9,3838
casd,3824
cavc,3801
texcommnapp,3683
vawd,3572
nycivct,3501
ohiocirct,3499
alaskactapp,3489
njch,3309
almd,3208
asbca,3147
prapp,3120
bia,3102
wawd,3062
nysb,3041
nhsuperct,3029
innd,2893
tned,2892
circtddc,2859
nmcca,2830
rid,2747
scd,2747
nyag,2708
lawd,2693
nyclaimsct,2692
miwd,2678
vtsuperct,2665
ortc,2660
mssd,2618
nebag,2615
moag,2561
paeb,2559
usarmymilrev,2550
nycterr,2512
ilnb,2443
txed,2422
hid,2390
alnd,2327
txwd,2305
nced,2304
uscirct,2283
nvd,2268
flsb,2249
insd,2248
ohioctcl,2245
kywd,2225
ohnb,2189
amsamoa,2185
circtdma,2169
acca,2155
ohsb,2155
vid,2153
flacirct,2130
azd,2122
caed,2115
wvsd,2089
okwd,2083
paorphctphilad,2073
iand,2071
jpml,2069
nycfamct,2060
nmd,2041
ned,2027
ared,2023
calctapp5d,2021
tnmd,1993
vaccfairfax,1982
afcca,1978
akd,1969
iasd,1965
utd,1899
kyed,1898
wiwd,1886
mab,1884
ncmd,1855
vagensess,1850
ncwd,1829
mtd,1780
ilsd,1763
nycrimct,1759
usafctmilrev,1714
pactcomplallegh,1657
ncsuperct,1641
msnd,1617
usnmcmilrev,1576
tennworkcompcl,1571
pactcompldauphi,1571
pactcomplmontgo,1565
gasd,1561
ilcd,1536
arwd,1526
circtedpa,1506
superctny,1502
wisag,1499
alsd,1467
tnwd,1464
nhd,1457
vaccrichmondcty,1439
ohctcomplhamilt,1422
pactcompl,1413
gamd,1399
sdd,1384
njtaxct,1377
ag,1370
nyeb,1354
ohcirctcuyahoga,1311
ohcircthamilton,1306
vaeb,1302
pawb,1262
ohsuperctcinci,1258
deb,1248
calag,1236
virginislands,1234
mowb,1227
kanag,1193
calappdeptsuper,1192
vtd,1177
lamd,1172
pactcomplbucks,1164
pactcompldelawa,1161
ganb,1091
nygensess,1076
idd,1072
wvnd,1052
flnd,1052
txnb,1051
mieb,1006
ctb,1003
oknd,999
padeptjust,971
pactcompllackaw,966
pactcompllehigh,961
ndd,959
cob,931
circtedmo,927
illinoised,916
pactcompllancas,911
pactcomplluzern,910
ohctcomplfrankl,889
circtndil,884
tneb,884
waed,862
flacirct11mia,861
pactcomplberks,856
nysuffolkctyct,849
txsb,846
circtndny,834
vacc,830
ohctcomplcuyaho,810
ksb,807
wyd,802
njb,799
indtc,796
mnb,783
usdistct,778
pactcomplmonroe,769
southcarolinaed,766
bap8,762
cacb,756
nycityct,754
ctchansc,736
mdcirctctbalt,726
vaccnorfolk,721
ohcirctlucas,706
nyfamct,704
areb,701
njlaborcomp,696
coloag,686
circtdct,678
nywb,678
nydistctnassau,646
pactcomplcumber,642
moeb,623
pactcomplcheste,622
pactcompllawren,621
circtdnj,605
mdb,598
pactcomplnortha,596
ctappindterr,596
pactcomplschuyl,592
pamb,591
kywb,587
pactcomplyork,584
idb,581
circtedny,578
pactcomplmercer,577
delctcompl,574
circtdin,570
vaccloudoun,569
circtwdpa,569
bap10,566
gamb,566
txwb,565
alnb,565
navajo,553
scb,552
circtdpa,548
circtdmn,540
miwb,538
ilcb,529
nmb,527
rib,519
pactcomplwashin,516
nhb,511
vawb,508
circtndca,507
circtsdoh,507
pactcomplerie,505
tennworkcompapp,497
wieb,496
nysuperctbuf,485
pactcompladams,480
circtdri,478
oked,475
pactcomplwestmo,474
nyspecsessct,470
orb,469
wiwb,467
gasb,463
circtdor,461
ianb,460
tnmb,459
vaccroanokecty,457
pactcomplbeaver,457
tennsuperct,453
bap1,445
canb,440
vtb,439
pactcomplfayett,436
nychanctsara,430
innb,430
arb,429
circtwdmo,424
nynb,411
pactcompllycomi,409
paorphctmontgo,401
meb,401
nebraskab,398
circtedla,395
casb,395
tecoa,391
caeb,383
mtb,380
bap6,377
mdag,377
calsuppctsf,375
kingsbench,372
southcarolinawd,371
nceb,368
pactcomplnorthu,365
eca,362
visuper,359
washterr,357
oknb,349
circtdsc,348
ftpeckctapp,345
ndb,343
flnb,341
vaccalexandria,338
circtndoh,335
dakotasup,334
arwb,333
nydistctsuffolk,332
pactcomplsomers,330
circtnc,326
circtdco,323
tnwb,321
circtdmd,317
okwb,314
pactcomplcentre,308
circtdme,307
circtedwi,306
utb,302
prb,296
uscgcoca,293
nmariana,285
circtnia,284
nydistct,282
wvactapp,280
almb,279
txeb,278
flapubserv,278
msnb,277
hib,277
circtndga,270
pactcomplcambri,269
circtdwa,265
pactcomplwarren,263
vaccspotsylvani,262
nvb,258
ilsb,256
circtdoh,252
mdcityctbalt,252
nynycmagct,252
circtedmi,250
masshserep,248
pactcomplcarbon,248
californiad,245
circtsdia,244
pamunictphila,244
circtsdca,243
sdb,241
ncmb,240
riviceadmct,240
pactcompllebano,235
paqtrsessphilad,234
circtedva,232
vaccvabeach,231
vacccharlottesv,231
cgcomilrev,229
vaccarlington,228
circtdky,227
lawb,227
paqtrsessmontgo,227
circtdla,226
circtsdga,226
vacchenrico,223
fladistctapp3,222
ohctcompllucas,220
paqtrsessdelawa,218
circtdvt,217
circtdmi,216
nymarct,213
gud,209
insb,207
nmid,206
flacirct15pal,206
delfamct,205
vaccchesterfiel,205
circtdks,204
illcirct,202
flacirct4duv,200
kyeb,196
fladivadminhrg,195
pactcomplclearf,194
pactcomplblair,190
circtdnv,190
gasuperctchatha,189
wawb,188
vaccrichcity,185
nyoytermct,185
mohegangct,184
gad,183
pactcomplfrankl,182
navajoctapp,180
pactcomplcolumb,180
ohctcompllickin,179
circtdne,179
masslandct,178
pactcomplbutler,173
washd,171
ohctcomplsummit,170
nyroccityct,169
vaccrockingham,167
alsb,167
mssb,166
washag,166
cjdpa,164
mdsuperctbalt,163
pactcomplcrawfo,157
ohcirctsummit,157
circtdca,156
superctguam,156
ohctapp8cuyahog,155
vimunict,155
paqtrsessdauphi,154
iasb,151
ohctcomplclermo,151
laeb,150
massdistct,150
circtwdmi,149
caldistct,148
circtwdva,146
delorphct,146
indianad,144
paorphctallegh,142
circtdmt,141
ohprobcthamilto,139
circtdva,135
ohcirctwood,135
ohmunicthamilto,134
pactcomplfulton,132
olc,131
pactcomplclinto,128
vaccwarren,128
circtdnh,127
pennsylvaniad,127
okeb,127
circtwdtn,126
ohprobctcuyahog,125
circtedar,124
hochunkct,123
circtdil,122
lamb,122
circtwdwi,122
circtwdnc,120
vaccchesapeake,119
deloyerterm,118
pactcomplpike,118
vaccfrederick,118
hopiappct,117
ncwb,116
ohmunictclevela,115
circtdia,115
paorphctdelawa,115
calsuperct,114
vaccwinchester,111
wvnb,111
paqtrsesslancas,111
oklajeap,110
ohcirctlorain,110
massdistctbos,108
paqtrsessluzern,107
vaccamherst,107
canalzoned,105
grrondect,105
flaindcommn,105
minnag,105
ohprobctfrankli,105
circtednc,104
flacirct17bro,103
pactcomplarmstr,103
circtwdny,102
flacirct5lak,102
paorphctberks,101
cnmitrialct,101
flactyct50,100
nyd,99
paorphctlancas,98
nycirct,98
circtdwv,97
orccmultnomah,97
circtsdal,97
circtwdar,96
nycommnapp,95
ohctcomplmontgo,95
circtdel,94
nyalbanycityct,94
indsuperct,93
paorphcterie,93
nyessexctyct,92
nyyonkerscityct,91
vaccalbemarle,90
vaccnelson,90
reglrailreorgct,89
cherokeeapp,89
ohctcompltuscar,87
ndctapp,86
paenvhrbd,86
ohctcomplstark,86
circttenn,85
circtny,84
pactcomplgreene,84
circtwdtex,84
paorphctdauphi,83
hochunk,82
paqtrsessberks,81
njcirct,80
ohmunictakron,80
paorphctschuyl,79
flacirct2leo,78
flactyct23,78
pactcomplbradfo,78
circtmdpa,78
ohctcompltrumbu,77
misschanceryct,77
kyd,77
pactcomplmiffli,77
vaccportsmouth,77
ohcirctlicking,76
akb,75
ohctcomplclark,75
vaccstafford,75
ohcircthuron,75
nymtverncityct,75
paqtrsesswashin,74
pactcomplperry,73
flactyct64,73
vaccfredericksb,72
waeb,71
ohcirctbutler,71
vaccwise,71
vaccsalem,71
nystateassembly,70
nybuffalocityct,70
paqtrsesslackaw,70
paqtrsessschuyl,69
circtndal,68
mdorphanctbalt,68
flactyct48,67
circtdmo,67
paqtrsesslehigh,67
pactcompljeffer,67
paorphctcheste,66
vaccnewportnew,66
circtdar,66
pactcomplsnyder,66
paorphctlehigh,66
circtdid,65
ariztaxct,64
vacchanover,64
circtedtn,63
paorphctyork,63
circtndfl,63
wisd,63
pactcomplmontou,62
circtndwv,61
nyjustct,61
pactcomplwyomin,60
flactyct,60
wvsb,60
pactcomplelk,60
ard,60
paqtrsessyork,59
ohctcompllake,59
ohctcompllorain,58
circtwdky,58
ohcircthancock,57
gasuperctrichm,57
ohmunictdayton,57
nylbccityct,57
fladistctapp2,57
vaccaugusta,57
ohprobcttuscara,57
njsuperhudson,56
ohctcompljeffer,56
ohmunictfrankli,56
lasuperct,56
ohcirctstark,55
nynewroccityct,55
vaccshenandoah,55
circtsdil,55
cherokee,55
ohprobctmontgom,55
ohctcomplcolumb,54
pactcomplunion,54
texjpml,54
paarbpnlhc,54
com,54
paqtrsessbucks,53
guam,53
wyb,53
ohctcomplmedina,53
flactyct6,52
circtedtx,52
ohcirctrichland,52
michd,52
pactcomplbedfor,52
njcircthudson,52
pactcomplpotter,51
ohctcomplmahoni,51
ohprobctclark,51
ohctcomplmuskin,51
ohctcomplscioto,51
circtsdms,50
colvctapp,50
flacirct13hil,50
flactyct43,50
flacirct6pin,50
paorphctlackaw,50
circtwdwa,49
paqtrsesscentre,49
paqtrsessmercer,49
flacirct9ora,49
paqtrsesscambri,49
nysyrcityct,48
pactcomplindian,48
nywhplncityct,47
vacclancaster,47
ohctinsolvhamil,46
ohcirctmahoning,46
paqtrsessbeaver,46
flactyct18,45
pactcomplhuntin,45
vaccfauquier,45
paorphctluzern,44
fladistctapp1,44
ohcirctfranklin,44
njsurrctessex,43
sfdistct,43
pactcomplwayne,43
paqtrsessallegh,42
flajudct12,42
vacccampbell,42
ohcirctashtabul,42
ohctcomplfayett,42
ohctcomplpauldi,42
tulalipctapp,42
vaccwashington,42
nyuticacityct,42
flacirct16mon,42
ohctcomplrichla,42
paoytermctphila,41
paorphctwashin,41
flasmclct3,41
paqtrsesscolumb,40
vaccalleghany,40
circtmdtn,40
vaccbedford,40
vacclynchburg,40
paqtrsesserie,40
vaccprincewill,39
pactcomplsusque,39
vachanctnorf,38
nykingsctyct,38
paqtrsesslycomi,38
philactnp,38
ohctcomplwood,37
pactcomplforest,37
salishctapp,37
circtmdal,37
ohcirctallen,37
circtdwi,37
pactcomplvenang,37
ohcircterie,36
paqtrsesssomers,36
ohctcomplallen,36
paqtrsesswestmo,36
circtdsd,36
ohcirctsandusky,35
moheganct,35
masssuperctsuff,35
vaccclarke,35
odawactapp,35
ohctcomplashtab,35
paorphctbucks,34
dcb,34
paqtrsessfayett,34
ohmunictcincinn,34
circtedwa,34
ohctcomplmadiso,34
micirct10,34
ohmunicttoledo,34
ohiopuc,34
ohcirctcolumbia,34
paqtrsesscumber,33
nywatertcityct,33
ohctapp1hamilto,33
ohcirctwayne,32
pactcompltioga,32
vaccbotetourt,32
paag,32
nyoneidactyct,31
nymontctyct,31
ohctcomplbelmon,31
ohcirctlogan,31
paqtrsessnortha,31
tennessed,31
vacccaroline,30
nyeriectyct,30
paqtrsesscheste,30
caljp,30
calctapp4d,30
ohctcomplbutler,30
vaccgreene,29
paorphctnortha,29
ncd,29
paqtrsesslawren,29
fladistctapp5,29
ohctcompldarke,29
micirct9,29
pactcomplcamero,29
paqtrsessadams,28
bap2,28
nysessct,28
orccwashington,28
ohctcomplmiami,28
njcirctpassaic,28
pactcompljuniat,28
paadmct,28
ohprobctcolumbi,28
ohctcomplvanwe,28
njcirctatlantic,28
ohctcomplhuron,27
pactcomplmckean,27
lad,27
flajudct2,27
vaccsmyth,27
paorphctnorthu,25
paorphctmercer,25
paqtrsessfrankl,25
vacchopewell,25
ohcirctseneca,25
pactcomplclario,25
vaccwestmorelan,25
ohcirctottawa,25
ohiod,25
vaccmadison,25
vacckinggeorge,25
ohctcomplknox,25
circtdut,25
mod,25
ohctcomplhighla,24
vaccnorthumberl,24
njsuperbergen,24
njsupermiddlese,24
flactyctrec6,24
flacirct20lee,24
wvad,24
superctsdfla,24
ohcirctguernsey,24
circtdga,24
ohctcomplhancoc,24
lacterrapp,23
circtdtx,23
ohcirctmuskingu,23
pactcomplharris,23
ohcirctclark,23
ohctcomplpickaw,23
paqtrsessmonroe,23
nypoughcityct,23
vaccaccomack,23
ohioctcompl,23
nybingcityct,23
flacirct1esc,23
philarec,23
ohctapp10frankl,23
vaccpetersburg,23
ohcirctcrawford,22
ohmunictshakerh,22
paorphctcumber,22
calctapp2d,22
ohcirctpickaway,22
cheyrsiouxctapp,22
micirct3,22
flacirct19stl,21
nysteubenctyct,21
ohctcomplmeigs,21
ohctapp7mahonin,21
vaccscott,21
ohcirctmedina,21
vaccmartinsvill,21
ohcirctfairfiel,21
orccmarion,21
nywebsterjustct,21
nevapp,21
ohctcompllawren,21
vaccsuffolk,21
circtsdfl,21
nyqueensctyct,20
circtedok,20
paqtrsessnorthu,20
paorphctfayett,20
nyoswegocityct,20
ohioctyctstark,20
ohcirctdefiance,20
paoytermctmontg,20
ohcirctputnam,19
paqtrsessmontou,19
masstaxbd,19
paorphctfrankl,19
ohctcomplputnam,19
colctyctarapaho,19
ohctcomplharris,19
orccclackamas,19
vaccdanville,19
ohcirctdelaware,19
vaccbuchanan,19
oneidactapp,19
ohcirctknox,19
njctcompl,19
flactyct44,19
paqtrsesslebano,18
flacirct14bay,18
ohctcomplashlan,18
grrondectapp,18
njcirctcamden,18
vaccbath,18
ohmunictwadswor,18
ohcirctdarke,18
vaccwilliams,17
ohctcomplwillia,17
nyjustctossinin,17
mc,17
nygreenbjustct,17
ohmunictclermon,17
njcirctmonmouth,17
paorphctlawren,17
paqtrsessclinto,17
ohcirctmiami,17
ohcirctclermont,17
ohctcompllogan,17
paqtrsesscarbon,16
nyauburncityct,16
paqtrsessclearf,16
ohctcomplpreble,16
vaccculpeper,16
ohctcomplsandus,16
navajofamct,16
nyjustctbrighto,16
nyithacacityct,16
njsuperpassaic,16
njcirctbergen,16
texreview,16
ohcirctfulton,16
ohctcomplgeauga,16
vaccmontgomery,16
fladistctapp4,16
ohcirctclinton,16
nywestchcty,16
gasuperctfay,15
ohctcomplathens,15
vaccgreensville,15
circtndms,15
paqtrsesswarren,15
sacdistct,15
paqtrsesselk,15
vaccprincegeo,15
paorphctbeaver,15
vaccpage,15
ohmunictfindlay,15
ohcircttrumbull,14
paqtrsesscrawfo,14
ohctapp5licking,14
paorphctcrawfo,14
paorphctcentre,14
ohctcomplottawa,14
paqtrsessbradfo,14
paorphctadams,14
ohmunictsoutheu,14
flacirct18bre,14
oklacoj,14
flactyct63,14
ohcircttuscaraw,14
ohmunictcolumbu,14
ohctcomplmarion,14
njsupercamden,14
ohcirctfayette,14
micirct48,14
paorphctlycomi,14
ohjuvctcuyahoga,14
ohmunictlakewoo,13
vaccbrunswick,13
ohprobct,13
paqtrsessjeffer,13
nyjustctwestbur,13
flacirct10pol,13
nymiddletcityct,13
flactyct53,13
paorphctwestmo,13
nyportjercityct,13
micirct36,13
micirct15,13
vacclouisa,13
ohcirctportage,13
ohcirctscioto,13
paqtrsesssusque,13
ohctcomplportag,13
paqtrsessfulton,12
njfamctunion,12
nyulsterctyct,12
paorphctlebano,12
nyjustcttuckaho,12
ohcirctgeauga,12
paqtrsessgreene,12
flacirct19ind,12
flactyctrec1,12
nyniagaractyct,12
flacirct5mar,12
ohctcomplguerns,12
paorphctsomers,12
vaccstaunton,12
vaccnorthampton,12
echerkokee,12
paqtrsesspike,12
nyvalstrjustct,12
vaccessex,12
ohmunictcanton,12
paqtrsessunion,12
ohctcompldefian,12
ohcirctharrison,12
gasuperctwilkes,12
sacfoxsupct,12
vad,11
judcoun9,11
paqtrsesssnyder,11
nyjustctspringv,11
flacirct7vol,11
ohctapp11trumbu,11
ohprobctsummit,11
nyjudct,11
flactyct3,11
ohprobctlucas,11
njsupermonmouth,11
njsupermercer,11
flactyct32,11
ohcirctbelmont,11
vaccrockbridge,11
gasuperctcobb,11
flacirct1san,11
paorphctcolumb,11
vaccpittsylvani,11
ohctapp6lucas,11
ohctcomplshelby,11
ohctcomplhardin,11
circtdnd,11
ohctcompldelawa,11
mohegangctapp,11
nyamherstjustct,11
pactcomplsulliv,10
paorphctunion,10
vaccsurry,10
nyjustctclarks,10
nyrensctyct,10
ohctapp2montgom,10
nyputnamctyct,10
